conceito_candidato,ocorrencias,esta_no_vocabulario
Adversário com braços,2,False
Adversário com mãos,2,False
Adversário com pernas,2,False
Adversário para longe com braços,2,False
Adversário para longe com mãos,2,False
Adversário para longe com pernas,2,False
Ação Proibida,2,False
Punição Progressiva,2,False
dentro da Quadra de Jogo,2,False
fora da Quadra de Jogo,2,False
Conduta Seriamente Antidesportiva,2,False
Tiro de 6 Metros para o Adversário,2,False
relacionada à Situação de Jogo,2,False
Desqualificação por Conduta Extremamente Antidesportiva,2,False
Interferência de Oficial de Equipe a partir da Área de Substituição,2,False
Gol marcado por Tiro de 6 Metros,2,False
Gol espetacular exige alto padrão técnico,2,False
em Gol criativo,2,False
Gol que visa ridicularizar Adversário,2,False
a areia,2,False
Atleta que joga a Bola no Tiro de Árbitro,2,False
a pelo menos 1 metro do ponto de interseção entre Linha da Área de Gol e Linha Lateral,2,False
a pelo menos 1 metro do Executante,2,False
sem Sinal de Apito do Árbitro,2,False
Atletas da Equipe Adversária,2,False
"Em princípio, Árbitros interrompem a Partida e",2,False
pela Regra 13:1b,2,False
"há decisão de Tiro Livre contra a Equipe em Posse da Bola no momento do apito, então o Atleta com a Bola",2,False
após Sinal de Apito no local onde a Bola estava no momento da interrupção,2,False
"Atleta da Equipe que recebeu Tiro Livre está na posição correta com a Bola na mão, então o Atleta",2,False
"existe decisão potencial de Tiro de 6 Metros, Árbitros",2,False
Executante do Tiro de 6 Metros,2,False
a Linha de 6 Metros antes de a Bola sair de sua mão,2,False
"Após execução do Tiro de 6 Metros, a Bola",2,False
a pelo menos 1 metro do Executante até a Bola sair da mão do Executante,2,False
Todos os Atletas,2,False
outro pé do Executante,2,False
Executante,2,False
pelos Árbitros quando Atacantes não ficam em desvantagem ao executar imediatamente,2,False
Oficial de Equipe suspenso,2,False
Pessoa desqualificada,2,False
com Advertência Verbal,2,False
Sorteio por Moeda,2,False
com Tiro Livre para os Adversários,2,False
no local da infração,2,False
usar Sistema Eletrônico para registrar Team Time-out,2,False
na atribuição de 2 pontos,2,False
"um Gol tem objetivo claro de ridicularizar o adversário, então o Gol",2,False
circunstância externa relevante para uso de apenas uma Baliza no Shoot-out,2,False
Regras de Jogo Passivo,2,False
Sinal de Aviso Prévio,2,False
por obstrução de trajetória com contato físico durante Shoot-out ou contra-ataque rápido,2,False
em dispositivo fornecido pela organização do evento,2,False
Oficial de Equipe em movimento,2,False
"interferir com Árbitros por comportamento provocativo, protesto ou conduta antidesportiva",2,False
"insultar Árbitros, Delegados, Cronometrista, Secretário, Atletas, Oficiais de Equipe ou espectadores",2,False
sair da Área de Substituição para influenciar o jogo,2,False
permanecer ou mover-se ao longo da linha lateral durante aquecimento,2,False
especificações de uniformes e acessórios do APP-D,2,False
aos padrões do APP-D,2,False
Regata masculina,2,False
sem mangas,2,False
Top feminino ajustado ao corpo,2,False
Logotipos de promotor ou patrocinador,2,False
Logotipo do fabricante,2,False
shorts conforme os gráficos do APP-D,2,False
Shorts masculinos,2,False
Atletas femininas,2,False
Logotipos nos shorts,2,False
Uniformes de frio,2,False
Logotipos de patrocinadores,2,False
Cascalho fino,2,False
Areia muito grossa,2,False
Areia grossa,2,False
Areia média,2,False
Areia fina,2,False
Areia muito fina,2,False
Silte e argila,2,False
corretamente projetado sobre toda a Área de Jogo,2,False
Iluminação artificial,2,False
Retângulo,1,False
exatamente 27 metros,1,False
exatamente uma Área de Jogo,1,False
exatamente duas Áreas de Gol,1,False
medição da Quadra de Jogo utiliza a borda externa das Linhas Limítrofes,1,False
pedra,1,False
concha,1,False
objeto classificado como Risco de Corte,1,False
objeto classificado como Risco de Lesão,1,False
camada de areia,1,False
no mínimo 40 centímetros,1,False
fina,1,False
norte-sul,1,False
Alteração da Quadra de Jogo,1,False
vantagem para uma Equipe,1,False
Zona de Segurança,1,False
Zona de Segurança circunda a Quadra de Jogo,1,False
Condição Meteorológica,1,False
estado PERIGO_DE_LESÃO,1,False
iluminação noturna da Área de Jogo,1,False
no mínimo 400 lux,1,False
Linha Limítrofe pertence à área delimitada pela Linha Limítrofe,1,False
exatamente duas Linhas Laterais,1,False
exatamente duas Linhas de Gol Externas,1,False
espaço entre os Postes da Baliza,1,False
Linha de Gol,1,False
exatamente 6 metros da Linha de Gol Externa,1,False
Linha de Gol Externa,1,False
exatamente duas Linhas da Área de Gol,1,False
