conceito_candidato,ocorrencias,esta_no_vocabulario
Área de Gol com a Bola,1,False
Goleiro que sai_da Área de Gol com a Bola pode_jogar a Bola novamente na Área de Jogo se o Goleiro,1,False
Adversário em Perigo durante Ato de Defesa,1,False
Área de Gol com a Bola sob Controle,1,False
a Bola novamente fora da Área de Gol após Tiro de Goleiro antes de toque de outro Atleta,1,False
a Bola parada na areia fora da Área de Gol,1,False
a Bola rolando na areia fora da Área de Gol,1,False
"um Goleiro dentro da Área de Gol toca a Bola parada na areia fora da Área de Gol, então a Partida",1,False
"um Goleiro dentro da Área de Gol toca a Bola rolando na areia fora da Área de Gol, então a Partida",1,False
para a Área de Gol a Bola parada na areia fora da Área de Gol,1,False
para a Área de Gol a Bola rolando na areia fora da Área de Gol,1,False
"um Goleiro leva para a Área de Gol a Bola parada na areia fora da Área de Gol, então a Partida",1,False
"um Goleiro leva para a Área de Gol a Bola rolando na areia fora da Área de Gol, então a Partida",1,False
Área de Gol a partir da Área de Jogo com a Bola,1,False
"um Goleiro reentra_na Área de Gol a partir da Área de Jogo com a Bola, então a Partida",1,False
com o pé a Bola parada na areia dentro da Área de Gol,1,False
com a perna abaixo do joelho a Bola parada na areia dentro da Área de Gol,1,False
com o pé a Bola que se move da Área de Gol para a Área de Jogo,1,False
com a perna abaixo do joelho a Bola que se move da Área de Gol para a Área de Jogo,1,False
"um Goleiro toca com o pé a Bola parada na areia dentro da Área de Gol, então a Partida",1,False
"um Goleiro toca com a perna abaixo do joelho a Bola parada na areia dentro da Área de Gol, então a Partida",1,False
"um Goleiro toca com o pé a Bola que se move da Área de Gol para a Área de Jogo, então a Partida",1,False
"um Goleiro toca com a perna abaixo do joelho a Bola que se move da Área de Gol para a Área de Jogo, então a Partida",1,False
Quadra de Jogo exclusivamente pela Linha Lateral da própria Área de Gol,1,False
Quadra de Jogo exclusivamente pelo lado da própria Área de Substituição,1,False
Área de Jogo pela Linha Lateral da própria Área de Substituição,1,False
Área de Jogo pela Linha Lateral da própria Área de Gol,1,False
Área de Jogo exclusivamente pelo lado da própria Área de Substituição,1,False
Somente um Goleiro,1,False
Área de Gol inclui a Linha da Área de Gol,1,False
a Área de Gol,1,False
a Linha da Área de Gol,1,False
"um Jogador de Linha da Equipe Adversária entra_na Área de Gol em Posse da Bola, então a Partida",1,False
"um Jogador de Linha da Equipe Adversária entra_na Área de Gol sem a Bola e ganha Vantagem, então a Partida",1,False
"um Jogador de Linha da Equipe Defensora entra_na Área de Gol e destrói Chance Clara de Gol, então a Partida",1,False
"um Atleta entra_na Área de Gol após jogar a Bola e não cria Desvantagem para a Equipe Adversária, então a entrada",1,False
"um Atleta entra_na Área de Gol sem a Bola e não ganha Vantagem, então a entrada",1,False
Goleiro quando a Bola está_na Área de Gol,1,False
exceção da Regra 6:5 limita a regra geral de pertencimento da Bola ao Goleiro,1,False
Bola parada,1,False
Bola rolando,1,False
Área de Gol para jogar a Bola parada,1,False
Área de Gol para jogar a Bola rolando,1,False
"um Jogador de Linha entra_na Área de Gol para jogar a Bola parada, então a Partida",1,False
"um Jogador de Linha entra_na Área de Gol para jogar a Bola rolando, então a Partida",1,False
durante Tiro de Goleiro,1,False
"Área de Gol, então o Goleiro coloca a Bola em jogo por Tiro de Goleiro",1,False
"a Bola durante Ato de Defesa e a Bola é segurada pelo Goleiro, então o jogo continua por Tiro de Goleiro",1,False
"a Bola durante Ato de Defesa e a Bola fica parada na Área de Gol, então o jogo continua por Tiro de Goleiro",1,False
um Atleta joga a Bola para a própria Área de Gol e a Bola,1,False
"Baliza, então ocorre Gol",1,False
"um Atleta joga a Bola para a própria Área de Gol e a Bola fica parada na Área de Gol, então a Partida",1,False
"um Atleta joga a Bola para a própria Área de Gol e o Goleiro toca a Bola sem a Bola entrar_na Baliza, então a Partida",1,False
"um Atleta joga a Bola para a própria Área de Gol e a Bola sai pela Linha de Gol Externa, então a Partida",1,False
Bola que retorna da Área de Gol para a Área de Jogo,1,False
a Bola com a cabeça,1,False
a Bola com o tronco,1,False
a Bola com as coxas,1,False
a Bola com os joelhos,1,False
para disputar Bola parada na areia,1,False
para disputar Bola rolando na areia,1,False
a Bola de uma mão para a outra mão,1,False
a Bola ajoelhado na areia,1,False
a Bola sentado na areia,1,False
a Bola deitado na areia,1,False
a Bola por no máximo 3 segundos,1,False
a Bola parada na areia por no máximo 3 segundos,1,False
"a Bola permanece na areia por mais de 3 segundos, então o Atleta que tocou a Bola por último",1,False
a Bola novamente,1,False
Atleta com a Bola,1,False
Passo ocorre quando Atleta com dois pés na areia levanta um pé e coloca o mesmo pé novamente na areia,1,False
Passo ocorre quando Atleta com dois pés na areia move um pé de um lugar para outro lugar,1,False
Passo ocorre quando Atleta com um pé na areia recebe a Bola e,1,False
a areia com o outro pé,1,False
a areia com um pé e salta novamente sobre o mesmo pé,1,False
a areia com um pé e toca a areia com o outro pé,1,False
a areia com dois pés simultaneamente e levanta um pé,1,False
a areia com dois pés simultaneamente e move um pé de um lugar para outro lugar,1,False
movimento de um pé seguido de arrasto do outro pé,1,False
exatamente 1 passo,1,False
a Bola repetidamente com uma mão,1,False
a Bola repetidamente na areia com uma mão,1,False
"a Bola após Drible está segurada em uma mão, então a Bola",1,False
"a Bola após Drible está segurada em duas mãos, então a Bola",1,False
"a Bola após Drible está segurada em uma mão, então o Atleta",1,False
"a Bola após Drible está segurada em duas mãos, então o Atleta",1,False
Drible inicia quando Atleta,1,False
a Bola com qualquer parte do corpo e direciona a Bola para a areia,1,False
"outro Atleta, então o Atleta pode_tocar a Bola novamente",1,False
"a Baliza, então o Atleta pode_tocar a Bola novamente",1,False
"outro Atleta, então o Atleta pode_quicar a Bola novamente",1,False
"a Baliza, então o Atleta pode_quicar a Bola novamente",1,False
a Bola mais de uma vez sem toque intermediário da Bola na areia,1,False
a Bola mais de uma vez sem toque intermediário da Bola em outro Atleta,1,False
a Bola mais de uma vez sem toque intermediário da Bola na Baliza,1,False
Falha de Controle da Bola,1,False
a Bola durante tentativa de receber a Bola,1,False
a Bola durante tentativa de parar a Bola,1,False
"Atleta controla a Bola, então o Atleta",1,False
a Bola mais de uma vez após toque leve ou quique,1,False
a Bola com o pé,1,False
a Bola com a perna abaixo do joelho,1,False
"Adversário arremessa a Bola contra o Atleta, então o toque com o pé",1,False
"Adversário arremessa a Bola contra o Atleta, então o toque com a perna abaixo do joelho",1,False
"Árbitro na Quadra, então o jogo continua",1,False
Posse da Bola sem tentativa reconhecível de atacar,1,False
Posse da Bola sem tentativa reconhecível de arremessar à Baliza,1,False
repetidamente a execução do Tiro Livre próprio,1,False
repetidamente a execução do Lateral próprio,1,False
repetidamente a execução do Tiro de Goleiro próprio,1,False
manutenção proibida da Posse da Bola caracteriza Jogo Passivo,1,False
atraso repetido de Reinício de Jogo próprio caracteriza Jogo Passivo,1,False
Jogo Passivo produz Tiro Livre contra a Equipe em Posse da Bola,1,False
Tiro Livre por Jogo Passivo utiliza o local da Bola no instante da interrupção,1,False
"Árbitros reconhecem tendência possível de Jogo Passivo, então Árbitros mostram Sinal de Advertência",1,False
Sinal de Advertência de Jogo Passivo utiliza o Sinal Manual 16,1,False
Sinal de Advertência permite mudança da forma de ataque pela Equipe em Posse da Bola,1,False
"a forma de ataque não muda após Sinal de Advertência, então Árbitros",1,False
Jogo Passivo a qualquer momento,1,False
Jogo Passivo sem Sinal de Advertência prévio em situação específica,1,False
a Bola com mão aberta,1,False
a Bola com mão fechada,1,False
braços para ganhar posse da Bola,1,False
mãos para ganhar posse da Bola,1,False
mão aberta para jogar a Bola para longe do Adversário,1,False
corpo para obstruir Adversário,1,False
corpo para obstruir Adversário sem Posse da Bola,1,False
contato corporal com Adversário quando está de frente para o Adversário,1,False
contato corporal com Adversário com braços flexionados,1,False
contato corporal regulamentar para monitorar Adversário,1,False
contato corporal regulamentar para acompanhar Adversário,1,False
a Bola das mãos de um Adversário,1,False
a Bola para fora das mãos de um Adversário,1,False
com Adversário em desacordo com as Regras,1,False
Adversário em desacordo com as Regras,1,False
Adversário em perigo em desacordo com as Regras,1,False
contra Adversário com Bola,1,False
contra Adversário sem Bola,1,False
"uma Violação da Regra 8:2 dirige-se principalmente ao Adversário e não à Bola, então a Violação",1,False
"uma Violação da Regra 8:2 dirige-se exclusivamente ao Adversário e não à Bola, então a Violação",1,False
a Tiro Livre,1,False
a Tiro de 6 Metros,1,False
Infração que atende à definição de Punição Progressiva exige Punição Pessoal,1,False
Expressão Física incompatível com o espírito de boa esportividade constitui Conduta Antidesportiva,1,False
Expressão Verbal incompatível com o espírito de boa esportividade constitui Conduta Antidesportiva,1,False
Conduta Antidesportiva aplica-se a Atleta,1,False
Conduta Antidesportiva aplica-se a Oficial de Equipe,1,False
Punição Progressiva aplica-se à Conduta Antidesportiva,1,False
"um Atleta coloca a saúde do Adversário em perigo durante ataque ao Adversário, então o Atleta",1,False
"um Atleta atinge o braço de arremesso do Adversário pelo lado durante arremesso ou passe, então o Atleta",1,False
"um Atleta puxa para trás o braço de arremesso do Adversário pelo lado durante arremesso ou passe, então o Atleta",1,False
"um Atleta atinge o braço de arremesso do Adversário por trás durante arremesso ou passe, então o Atleta",1,False
"um Atleta puxa para trás o braço de arremesso do Adversário por trás durante arremesso ou passe, então o Atleta",1,False
"uma Ação resulta em golpe na cabeça do Adversário, então o Atleta",1,False
"uma Ação resulta em golpe no pescoço do Adversário, então o Atleta",1,False
"um Atleta atinge deliberadamente o corpo do Adversário com o pé, então o Atleta",1,False
"um Atleta atinge deliberadamente o corpo do Adversário com o joelho, então o Atleta",1,False
"um Atleta derruba deliberadamente Adversário com tropeço, então o Atleta",1,False
"um Atleta empurra Adversário em corrida e o Adversário perde controle do corpo, então o Atleta",1,False
"um Atleta empurra Adversário em salto e o Adversário perde controle do corpo, então o Atleta",1,False
"um Atleta ataca Adversário de modo que o Adversário perde controle do corpo, então o Atleta",1,False
Regra 8:5d aplica-se ao Goleiro que deixa a Área de Gol durante Contra-Ataque adversário,1,False
"um Atleta acerta a cabeça de Defensor com Tiro Livre direto ao Gol e o Defensor não estava em movimento, então o Atleta",1,False
"um Atleta acerta a cabeça do Goleiro com Tiro de 6 Metros e o Goleiro não estava em movimento, então o Atleta",1,False
risco ao Atleta orienta a decisão de Desqualificação,1,False
pequena intensidade aparente do contato corporal,1,False
Conduta Seriamente Antidesportiva de Atleta,1,False
Conduta Seriamente Antidesportiva de Oficial de Equipe,1,False
"um Atleta comete Agressão durante Tempo de Jogo, então o Atleta",1,False
Agressão de Atleta durante Tempo de Jogo,1,False
"um Atleta comete Agressão fora do Tempo de Jogo, então o Atleta",1,False
"um Oficial de Equipe comete Agressão, então o Oficial de Equipe",1,False
Ataque forte e deliberado contra o corpo de outra pessoa,1,False
Espectador,1,False
Reflexo Simples,1,False
resultado de método descuidado e excessivo,1,False
Cuspir em outra pessoa constitui Agressão,1,False
"uma Violação das Regras 8:2 a 8:7 destrói diretamente Chance Clara de Gol do Adversário, então a Partida",1,False
"uma Violação das Regras 8:2 a 8:7 não destrói Chance Clara de Gol do Adversário, então a Partida",1,False
Tiro Livre para o Adversário,1,False
Desqualificação por Ação Particularmente Imprudente,1,False
Desqualificação por Ação Particularmente Perigosa,1,False
Desqualificação por Ação Premeditada,1,False
Desqualificação por Ação Maliciosa,1,False
"Árbitros identificam Ação Particularmente Imprudente, então Árbitros",1,False
"Árbitros identificam Ação Particularmente Perigosa, então Árbitros",1,False
"Árbitros identificam Ação Premeditada, então Árbitros",1,False
"Árbitros identificam Ação Maliciosa, então Árbitros",1,False
Ação Premeditada,1,False
Ação Maliciosa,1,False
"Árbitros classificam uma Conduta como Extremamente Antidesportiva, então Árbitros",1,False
Comportamento Insultante dirigido a outra pessoa,1,False
Comportamento Ameaçador dirigido a outra pessoa,1,False
Interferência de Oficial de Equipe na Quadra de Jogo,1,False
"um Atleta destrói Chance Clara de Gol por Entrada Ilegal na Quadra, então a ação",1,False
"um Atleta destrói Chance Clara de Gol a partir da Área de Substituição, então a ação",1,False
braços para ganhar Posse da Bola,1,False
mãos para ganhar Posse da Bola,1,False
mão aberta para afastar a Bola do Adversário,1,False
o corpo para obstruir Adversário,1,False
Adversário sem Posse da Bola,1,False
Contato Corporal com Adversário quando está de frente para o Adversário,1,False
Contato Corporal com Adversário quando usa braços flexionados,1,False
Contato Corporal para monitorar Adversário,1,False
Contato Corporal para acompanhar Adversário,1,False
a Bola das mãos do Adversário,1,False
a Bola para fora das mãos do Adversário,1,False
com Adversário em contravenção às regras,1,False
Adversário em contravenção às regras,1,False
Adversário em perigo em contravenção às regras,1,False
proibição de interferir aplica-se a Adversário com Bola,1,False
proibição de interferir aplica-se a Adversário sem Bola,1,False
proibição de impedir aplica-se a Adversário com Bola,1,False
proibição de impedir aplica-se a Adversário sem Bola,1,False
proibição de colocar em perigo aplica-se a Adversário com Bola,1,False
proibição de colocar em perigo aplica-se a Adversário sem Bola,1,False
Punição Progressiva quando a ação é principalmente direcionada ao Adversário,1,False
Punição Progressiva quando a ação é exclusivamente direcionada ao Adversário,1,False
apenas Tiro Livre quando atende aos critérios de Punição Progressiva,1,False
apenas Tiro de 6 Metros quando atende aos critérios de Punição Progressiva,1,False
Infração com Punição Progressiva exige Punição Pessoal,1,False
Expressão Física incompatível com o espírito de esportividade constitui Conduta Antidesportiva,1,False
Expressão Verbal incompatível com o espírito de esportividade constitui Conduta Antidesportiva,1,False
Conduta Antidesportiva aplica-se a Atleta dentro da Quadra de Jogo,1,False
Conduta Antidesportiva aplica-se a Atleta fora da Quadra de Jogo,1,False
Conduta Antidesportiva aplica-se a Oficial de Equipe dentro da Quadra de Jogo,1,False
Conduta Antidesportiva aplica-se a Oficial de Equipe fora da Quadra de Jogo,1,False
Conduta Antidesportiva recebe Punição Progressiva,1,False
Atleta que coloca em perigo a saúde do Adversário durante ataque ao Adversário,1,False
Atleta coloca em perigo a saúde do Adversário quando golpeia o braço de arremesso do Adversário pelo lado,1,False
Atleta coloca em perigo a saúde do Adversário quando golpeia o braço de arremesso do Adversário por trás,1,False
Atleta coloca em perigo a saúde do Adversário quando puxa para trás o braço de arremesso do Adversário pelo lado,1,False
Atleta coloca em perigo a saúde do Adversário quando puxa para trás o braço de arremesso do Adversário por trás,1,False
Atleta coloca em perigo a saúde do Adversário quando golpeia a cabeça do Adversário,1,False
Atleta coloca em perigo a saúde do Adversário quando golpeia o pescoço do Adversário,1,False
Atleta coloca em perigo a saúde do Adversário quando atinge deliberadamente o corpo do Adversário com o pé,1,False
Atleta coloca em perigo a saúde do Adversário quando atinge deliberadamente o corpo do Adversário com o joelho,1,False
Atleta coloca em perigo a saúde do Adversário quando derruba deliberadamente o Adversário,1,False
Atleta coloca em perigo a saúde do Adversário quando empurra Adversário correndo e o Adversário perde controle do corpo,1,False
Atleta coloca em perigo a saúde do Adversário quando empurra Adversário saltando e o Adversário perde controle do corpo,1,False
Atleta coloca em perigo a saúde do Adversário quando ataca Adversário de forma que o Adversário perde controle do corpo,1,False
Regra 8:5 aplica-se a Goleiro que sai da Área de Gol em Contra-Ataque adversário,1,False
Atleta coloca em perigo a saúde do Adversário quando acerta a cabeça de Defensor imóvel com Tiro Livre direto à Baliza,1,False
Atleta coloca em perigo a saúde do Adversário quando acerta a cabeça de Goleiro imóvel com Tiro de 6 Metros,1,False
avaliação de Desqualificação considera o risco ao Atleta,1,False
avaliação de Desqualificação,1,False
apenas da intensidade aparente do Contato Corporal,1,False
Falta de pequeno impacto físico,1,False
perigosa,1,False
Conduta Gravemente Antidesportiva de Atleta,1,False
Conduta Gravemente Antidesportiva de Oficial de Equipe,1,False
Conduta Gravemente Antidesportiva dentro da Quadra,1,False
Conduta Gravemente Antidesportiva fora da Quadra,1,False
Atleta culpado por Agressão durante o tempo de jogo,1,False
Agressão durante o tempo de jogo,1,False
Agressão fora do tempo de jogo causa Desqualificação,1,False
Oficial de Equipe culpado por Agressão,1,False
Ataque forte e deliberado contra o corpo de outra Pessoa,1,False
simplesmente uma Ação Reflexa,1,False
simplesmente resultado de método descuidado,1,False
simplesmente resultado de método excessivo,1,False
Cuspir em outra Pessoa,1,False
Violação das Regras 8:2 a 8:7 causa Tiro de 6 Metros quando destrói diretamente Chance Clara de Gol da Equipe Adversária,1,False
Violação das Regras 8:2 a 8:7 causa Tiro Livre quando não destrói Chance Clara de Gol,1,False
Desqualificação por ação particularmente imprudente,1,False
Desqualificação por ação particularmente perigosa,1,False
Desqualificação por ação premeditada,1,False
Desqualificação por ação maliciosa,1,False
"Árbitros identificam ação particularmente imprudente, então Árbitros submetem Relatório Escrito após a Partida",1,False
"Árbitros identificam ação particularmente perigosa, então Árbitros submetem Relatório Escrito após a Partida",1,False
"Árbitros identificam ação premeditada, então Árbitros submetem Relatório Escrito após a Partida",1,False
"Árbitros identificam ação maliciosa, então Árbitros submetem Relatório Escrito após a Partida",1,False
ação particularmente imprudente,1,False
ação particularmente perigosa,1,False
ação premeditada sem relação com a situação de jogo,1,False
ação maliciosa sem relação com a situação de jogo,1,False
comportamento insultuoso dirigido a outra Pessoa,1,False
comportamento ameaçador dirigido a outra Pessoa,1,False
comportamento verbal,1,False
comportamento não verbal,1,False
expressão facial,1,False
gesto,1,False
linguagem corporal,1,False
contato corporal,1,False
Interferência de Oficial de Equipe na Quadra,1,False
Atleta que destrói Chance Clara de Gol por entrada ilegal na Quadra,1,False
Atleta que destrói Chance Clara de Gol a partir da Área de Substituição,1,False
quando a Bola inteira cruza toda a largura da Linha de Gol,1,False
Gol exige ausência de Violação de Regra pelo Arremessador antes do Arremesso,1,False
Gol exige ausência de Violação de Regra pelo Arremessador durante o Arremesso,1,False
Gol exige ausência de Violação de Regra por Companheiro de Equipe do Arremessador antes do Arremesso,1,False
Gol exige ausência de Violação de Regra por Companheiro de Equipe do Arremessador durante o Arremesso,1,False
"Defensor comete Violação de Regra e a Bola entra_na Baliza, então o Gol",1,False
se Árbitro interrompe a Partida antes da Bola cruzar completamente a Linha de Gol,1,False
se Cronometrista interrompe a Partida antes da Bola cruzar completamente a Linha de Gol,1,False
"Atleta joga a Bola para a própria Baliza, então o Gol",1,False
à Equipe Adversária,1,False
Gol Contra marcado por qualquer Atleta,1,False
regra de Gol Contra possui_exceção quando o Goleiro,1,False
Tiro de Goleiro e a Bola não cruza a Linha da Área de Gol,1,False
"Tiro de Goleiro e a Bola não cruza a Linha da Área de Gol, então Gol Contra não_é_concedido",1,False
Gol comum,1,False
Gol criativo,1,False
Gol marcado em aérea,1,False
Gol marcado pelo Goleiro,1,False
Gol em aérea exige que o Atleta controle a Bola no ar,1,False
Gol em aérea exige que o Atleta arremesse à Baliza enquanto está no ar,1,False
toque tipo tapa na Bola para dentro da Baliza,1,False
empurrão simples da Bola para dentro da Baliza,1,False
um Gol de 1 ponto baseado apenas em habilidade técnica fundamental,1,False
ação final notável e dramática,1,False
valor de 2 pontos,1,False
"Após Gol, a Partida",1,False
Tiro de Goleiro a partir da Área de Gol,1,False
Gol concedido,1,False
após Árbitro validar o Gol e Tiro de Goleiro ser executado,1,False
"o Sinal Final de Período ocorre imediatamente após Gol e antes do Tiro de Goleiro, então Árbitros",1,False
que o Gol foi validado,1,False
validação de Gol imediatamente antes do Sinal Final,1,False
execução de Tiro de Goleiro,1,False
"o placar está empatado ao final de um Período, então aplica-se o método Gol de Ouro",1,False
"Gol de Ouro, a Equipe que marca o primeiro Gol vence o Período",1,False
"uma Equipe vence os dois Períodos, então essa Equipe vence a Partida",1,False
"cada Equipe vence um Período, então a Partida",1,False
por Shoot-out,1,False
sempre uma Equipe vencedora,1,False
"Shoot-out, cinco Atletas elegíveis de cada Equipe executam tentativas alternadas",1,False
"Goleiro é um dos Arremessadores do Shoot-out, então o Goleiro",1,False
Jogador de Linha durante sua tentativa,1,False
Equipe vencedora do Shoot-out é a Equipe que marca mais pontos após cinco tentativas,1,False
"o resultado não está decidido após a primeira rodada do Shoot-out, então o Shoot-out continua",1,False
"Antes de rodada adicional do Shoot-out, as Equipes trocam os lados da quadra",1,False
"Antes de rodada adicional do Shoot-out, as Equipes",1,False
a Área de Substituição,1,False
"Em rodada adicional do Shoot-out, cinco Atletas elegíveis de cada Equipe executam tentativas alternadas",1,False
"Em rodada adicional do Shoot-out, a outra Equipe inicia a rodada",1,False
"Em rodada adicional ou subsequente do Shoot-out, a Partida",1,False
assim que uma Equipe assume vantagem após número igual de tentativas,1,False
"número de Atletas de uma Equipe cai abaixo de cinco em uma rodada, então essa Equipe",1,False
menos oportunidades de tentativa,1,False
"Shoot-out, nenhum Atleta",1,False
segunda tentativa na mesma rodada,1,False
"Shoot-out, Árbitros realizam sorteio para determinar escolha de lados e Equipe que inicia",1,False
"a Equipe vencedora do sorteio escolhe iniciar o Shoot-out, então a Equipe Adversária escolhe o lado",1,False
"a Equipe vencedora do sorteio escolhe o lado, então a Equipe Adversária inicia o Shoot-out",1,False
Circunstâncias externas,1,False
que Árbitros decidam usar apenas uma Baliza no Shoot-out,1,False
"Durante Shoot-out, todos os arremessos",1,False
com a mesma Bola para ambas as Equipes,1,False
Equipe Atacante posiciona primeiro o Goleiro e o Jogador de Linha Arremessador,1,False
Ambos os Goleiros iniciam a tentativa sobre a Linha de Gol com pelo menos um pé,1,False
tentativa do Shoot-out inicia com apito do Árbitro,1,False
"Após o apito, o Jogador de Linha joga a Bola de volta para o próprio Goleiro na Linha de Gol",1,False
"Durante o passe inicial do Shoot-out, a Bola",1,False
"Após a Bola sair da mão do Jogador de Linha, ambos os Goleiros",1,False
na própria Área de Gol,1,False
à Baliza adversária em até 3 segundos,1,False
a Bola ao Companheiro que corre em direção à Baliza adversária em até 3 segundos,1,False
"Durante o passe do Goleiro ao Companheiro no Shoot-out, a Bola",1,False
marcar Gol sem Violação de Regra,1,False
"o Goleiro atacante comete Violação de Regra no Shoot-out, então o ataque termina",1,False
"o Jogador de Linha atacante comete Violação de Regra no Shoot-out, então o ataque termina",1,False
"Goleiro defensor sai_da Área de Gol no Shoot-out, então o Goleiro defensor",1,False
à Área de Gol a qualquer momento,1,False
"Goleiro defensor salva Gol no Shoot-out por Violação de Regra, então",1,False
Qualquer Atleta elegível,1,False
Tiro de 6 Metros concedido no Shoot-out,1,False
"Durante Shoot-out, todos os Atletas envolvidos",1,False
na própria Área de Substituição,1,False
Atleta que executou tentativa de Shoot-out,1,False
à própria Área de Substituição,1,False
no centro da Quadra de Jogo,1,False
o Tiro de Árbitro lançando a Bola verticalmente,1,False
lançamento vertical da Bola ocorre após Sinal de Apito do segundo Árbitro,1,False
segundo Árbitro posiciona-se fora da Linha Lateral oposta à Mesa de Cronometragem,1,False
"Durante o Tiro de Árbitro, um Atleta de cada Equipe",1,False
a menos de 3 metros do Árbitro executante,1,False
"Durante o Tiro de Árbitro, todos os demais Atletas",1,False
a pelo menos 3 metros do Árbitro executante,1,False
"Durante o Tiro de Árbitro, os Atletas que não disputam a Bola",1,False
em qualquer outro local da Quadra de Jogo,1,False
dois Atletas que saltam para disputar a Bola,1,False
próximos ao Árbitro executante,1,False
Atleta que salta para disputar a Bola,1,False
no lado mais próximo da própria Baliza,1,False
somente após atingir seu ponto mais alto,1,False
dois Atletas obrigados a saltar para disputar a Bola,1,False
a Bola durante o Tiro de Árbitro,1,False
a Bola novamente de forma intencional antes de toque de outro Atleta,1,False
a Bola novamente de forma intencional antes de toque da Bola na areia,1,False
quando a Bola cruza completamente a Linha Lateral,1,False
pela Equipe Adversária da Equipe cujo Atleta tocou por último a Bola antes de a Bola cruzar a linha,1,False
sem Sinal de Apito dos Árbitros,1,False
à execução sem Sinal de Apito do Lateral,1,False
"a Bola cruza a Linha Lateral, então o Lateral",1,False
no local onde a Bola cruzou a Linha Lateral,1,False
"a Bola cruza a Linha de Gol Externa, então o Lateral",1,False
"a Bola cruza a Linha Lateral dentro da Área de Gol, então o Lateral",1,False
um pé sobre a Linha Lateral até a Bola sair da mão,1,False
a Bola na areia e pegá-la novamente por si mesmo,1,False
a Bola e recebê-la novamente por si mesmo,1,False
violação de autopasse no Lateral remete à Regra 13:1a,1,False
"Durante o Lateral, Defensores",1,False
quando Atleta da Equipe Adversária entra_na Área de Gol em violação da Regra 6:2a,1,False
quando a Equipe Adversária marca Gol,1,False
Tiro de Goleiro é_concedido quando o Goleiro,1,False
a Bola na própria Área de Gol,1,False
quando a Bola cruza a Linha de Gol Externa após último toque do Goleiro,1,False
quando a Bola cruza a Linha de Gol Externa após último toque de Atleta da Equipe Adversária,1,False
"Após concessão de Tiro de Goleiro, a Bola",1,False
fora de jogo,1,False
"ocorre Violação de Regra após concessão do Tiro de Goleiro e antes de sua execução, então a Partida",1,False
pelo Goleiro,1,False
à execução sem Sinal de Apito do Tiro de Goleiro,1,False
da Área de Gol para fora da Área de Gol sobre a Linha da Área de Gol,1,False
executado quando a Bola arremessada pelo Goleiro cruza a Linha da Área de Gol,1,False
imediatamente fora da Linha da Área de Gol,1,False
a Bola antes de a Bola cruzar a Linha da Área de Gol,1,False
"Durante substituição do Goleiro, o Tiro de Goleiro",1,False
pelo Goleiro que está saindo,1,False
Goleiro que está saindo,1,False
Quadra após executar o Tiro de Goleiro,1,False
a Bola novamente após Tiro de Goleiro antes de a Bola tocar outro Atleta,1,False
continuidade no jogo evitando interrupção prematura por decisão de Tiro Livre,1,False
"Equipe Defensora ganha Posse da Bola imediatamente após Violação da Equipe Atacante, então Árbitros",1,False
Tiro Livre pela Regra 13:1a,1,False
"Equipe Atacante não perde a Posse da Bola após Violação da Equipe Defensora, então Árbitros",1,False
"Equipe Atacante consegue continuar o Ataque após Violação da Equipe Defensora, então Árbitros",1,False
"Punição Pessoal deve_ser_dada por Violação de Regra, então Árbitros",1,False
a Partida imediatamente quando a interrupção não causa Desvantagem para os Adversários da Equipe infratora,1,False
até o fim da situação existente,1,False
"a Violação exige intervenção imediata do Cronometrista, então a Partida",1,False
"Violação que normalmente levaria a Tiro Livre ocorre com a Bola fora de jogo, então a Partida",1,False
o Tiro correspondente ao motivo da interrupção existente,1,False
"com a Bola em jogo sem Violação de Regra e uma Equipe estava em Posse da Bola, então essa Equipe mantém a Posse da Bola",1,False
Regra da Vantagem da Regra 13:2,1,False
às situações da Regra 13:4,1,False
imediatamente a Bola no local onde está,1,False
imediatamente a Bola na areia no local onde está,1,False
"Antes da execução do Tiro Livre, Atletas da Equipe Atacante",1,False
a menos de 1 metro da Linha da Área de Gol adversária,1,False
"Durante a execução do Tiro Livre, Adversários",1,False
Tiro Livre normalmente,1,False
à execução sem Sinal de Apito do Tiro Livre,1,False
"Em princípio, o Tiro Livre",1,False
no local onde ocorreu a Infração,1,False
"Nas situações da Regra 13:4a, o Tiro Livre",1,False
"Nas situações da Regra 13:4b, o Tiro Livre",1,False
"Nas situações da Regra 13:4c, o Tiro Livre",1,False
após Sinal de Apito no local abaixo de onde a Bola tocou o Equipamento Fixo,1,False
"Cronometrista interrompe a Partida por substituição irregular, então aplica-se a mesma exceção de local mais favorável",1,False
"Cronometrista interrompe a Partida por entrada ilegal, então aplica-se a mesma exceção de local mais favorável",1,False
Tiro Livre por Jogo Passivo,1,False
no local onde a Bola estava quando a Partida foi interrompida,1,False
dentro da Área de Gol da própria Equipe executante,1,False
"o local indicado para o Tiro Livre está dentro da Área de Gol da própria Equipe executante, então o local de execução",1,False
para o ponto mais próximo imediatamente fora da Área de Gol,1,False
"a posição correta do Tiro Livre está a menos de 1 metro da Linha da Área de Gol da Equipe Defensora, então o Tiro Livre",1,False
a pelo menos 1 metro da Linha da Área de Gol,1,False
a Bola na areia e pegá-la novamente,1,False
a Bola e recebê-la novamente,1,False
quando uma Clara Chance de Gol é_destruída em qualquer local da Quadra por Atleta da Equipe Adversária,1,False
